uaf_sector;uaf_ruts_total;uaf_ruts_match_sii_pj;uaf_match_rate_sii_pj;sii_acteco;sii_glosa;support_uaf_sector;coverage_sector;coverage_wilson_low;uaf_code_purity;lift_vs_uaf;sii_ruts_with_code;uaf_registered_any_with_code;registered_rate_any_uaf;registered_rate_target_sector;universe_sii_not_uaf_with_code;manual_sector_prior;manual_sector_similarity;manual_code_prior;empirical_role;confidence;false_positive_risk;empirical_score;rank_sector
Comerciantes de Joyas y Piedras Preciosas;31;31;1.0;479100;VENTA AL POR MENOR POR CORREO, POR INTERNET Y VIA TELEFONICA;14;0.451613;0.291615;0.08284;19.3018;78444;169;0.002154;0.000178;78275;Comerciantes de Joyas y Piedras Preciosas;1.0;NO;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;ALTO;34.37;3
Comerciantes de Joyas y Piedras Preciosas;31;31;1.0;321200;FABRICACION DE BISUTERIA Y ARTICULOS CONEXOS;2;0.064516;0.017874;0.5;116.5;1180;4;0.00339;0.001695;1176;Comerciantes de Joyas y Piedras Preciosas;1.0;NO;ACTIVIDAD_INCIDENTAL;BAJA;ALTO;28.3;4
Comerciantes de Joyas y Piedras Preciosas;31;31;1.0;952900;REPARACION DE OTROS EFECTOS PERSONALES Y ENSERES DOMESTICOS;5;0.16129;0.070925;0.25;58.25;4326;20;0.004623;0.001156;4306;Comerciantes de Joyas y Piedras Preciosas;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;26.94;6
Comerciantes de Joyas y Piedras Preciosas;31;31;1.0;464909;VENTA AL POR MAYOR DE OTROS ENSERES DOMESTICOS N.C.P.;1;0.032258;0.005717;0.002825;0.6582;9864;354;0.035888;0.000101;9510;Comerciantes de Joyas y Piedras Preciosas;1.0;SI;ACTIVIDAD_INCIDENTAL;BAJA;MEDIO;24.52;9
Comerciantes de Metales Preciosos;12;11;0.916667;466200;VENTA AL POR MAYOR DE METALES Y MINERALES METALIFEROS;8;0.727273;0.43435;0.380952;250.1472;2469;21;0.008505;0.00324;2448;Comerciantes de Metales Preciosos;1.0;SI;GATILLANTE_EMPIRICO_ALTO;ALTA;ALTO;65.26;1
Comerciantes de Metales Preciosos;12;11;0.916667;477394;VENTA AL POR MENOR DE ARTICULOS DE JOYERIA, BISUTERIA Y RELOJERIA EN COMERCIOS ESPECIALIZADOS;5;0.454545;0.21271;0.072464;47.5823;11133;69;0.006198;0.000449;11064;Comerciantes de Metales Preciosos;1.0;NO;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;ALTO;30.66;3
Comerciantes de Metales Preciosos;12;11;0.916667;479100;VENTA AL POR MENOR POR CORREO, POR INTERNET Y VIA TELEFONICA;2;0.181818;0.051367;0.011834;7.7708;78444;169;0.002154;2.5e-05;78275;Comerciantes de Metales Preciosos;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;20.6;7
Compañías de Seguro;65;65;1.0;651210;SEGUROS GENERALES, EXCEPTO ACTIVIDADES DE ISAPRES;37;0.569231;0.448328;0.948718;105.4245;280;39;0.139286;0.132143;241;Compañías de Seguros;0.8083;SI;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;MEDIO;74.41;1
Compañías de Seguro;65;65;1.0;651100;SEGUROS DE VIDA;30;0.461538;0.345901;1.0;111.1231;175;30;0.171429;0.171429;145;Compañías de Seguros;0.8083;SI;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;MEDIO;70.57;2
Compañías de Seguro;65;65;1.0;652000;REASEGUROS;6;0.092308;0.042995;1.0;111.1231;35;6;0.171429;0.171429;29;Compañías de Seguros;0.8083;NO;ACTIVIDAD_INCIDENTAL;BAJA;MEDIO;36.93;3
Conservadores;92;1;0.01087;691003;CONSERVADOR DE BIENES RAICES;1;1.0;0.206543;1.0;7223.0;4;1;0.25;0.25;3;Conservadores;1.0;SI;EVIDENCIA_LIMITADA_POR_MUESTRA;BAJA_MUESTRA;BAJO;64.29;1
Cooperativas (instituciones financieras);47;46;0.978723;641990;OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.;20;0.434783;0.30209;0.103093;16.1878;1146;194;0.169284;0.017452;952;Instituciones Financieras;0.7492;SI;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;MEDIO;55.14;1
Cooperativas (instituciones financieras);47;46;0.978723;649209;OTRAS ACTIVIDADES DE CONCESION DE CREDITO N.C.P.;10;0.217391;0.122608;0.2;31.4043;279;50;0.179211;0.035842;229;Instituciones Financieras;0.7492;SI;GATILLANTE_NORMATIVO_CON_RESPALDO;MEDIA;MEDIO;48.52;2
Cooperativas (instituciones financieras);47;46;0.978723;649201;FINANCIERAS;1;0.021739;0.003848;0.022727;3.5687;560;44;0.078571;0.001786;516;Instituciones Financieras;0.7492;SI;ACTIVIDAD_INCIDENTAL;BAJA;MEDIO;33.19;3
Cooperativas (instituciones financieras);47;46;0.978723;949909;ACTIVIDADES DE OTRAS ASOCIACIONES N.C.P.;10;0.217391;0.122608;0.454545;71.3735;27431;22;0.000802;0.000365;27409;Instituciones Financieras;0.7492;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;32.34;4
Cooperativas (instituciones financieras);47;46;0.978723;649900;OTRAS ACTIVIDADES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES N.C.P.;3;0.065217;0.022427;0.012931;2.0305;1979;232;0.117231;0.001516;1747;Instituciones Financieras;0.7492;SI;ACTIVIDAD_INCIDENTAL;BAJA;MEDIO;30.45;5
Cooperativas (instituciones financieras);47;46;0.978723;960909;OTRAS ACTIVIDADES DE SERVICIOS PERSONALES N.C.P.;5;0.108696;0.047331;0.066667;10.4681;24497;75;0.003062;0.000204;24422;Instituciones Financieras;0.7492;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;23.13;8
Corredores de bolsa de valores;26;26;1.0;661202;CORREDORES DE BOLSA;25;0.961538;0.811068;0.78125;217.0373;92;32;0.347826;0.271739;60;Corredores de Bolsas de Valores;0.8493;SI;GATILLANTE_EMPIRICO_ALTO;ALTA;BAJO;88.22;1
Corredores de bolsa de valores;26;26;1.0;661203;AGENTES DE VALORES;4;0.153846;0.061499;0.25;69.4519;54;16;0.296296;0.074074;38;Corredores de Bolsas de Valores;0.8493;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;BAJO;26.52;2
Corredores de bolsa de valores;26;26;1.0;661903;EMPRESAS DE ASESORIA Y CONSULTORIA EN INVERSION FINANCIERA, SOCIEDADES DE APOYO AL GIRO;2;0.076923;0.021355;0.007722;2.1452;29964;259;0.008644;6.7e-05;29705;Corredores de Bolsas de Valores;0.8493;NO;ACTIVIDAD_INCIDENTAL;BAJA;ALTO;10.63;5
Corredores de bolsa de valores;26;26;1.0;702000;ACTIVIDADES DE CONSULTORIA DE GESTION;3;0.115385;0.040032;0.005155;1.432;114467;582;0.005084;2.6e-05;113885;Corredores de Bolsas de Valores;0.8493;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;9.29;6
Corredores de bolsas de productos;7;7;1.0;661202;CORREDORES DE BOLSA;7;1.0;0.645661;0.21875;225.7188;92;32;0.347826;0.076087;60;Corredores de Bolsas de Productos;1.0;NO;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;BAJO;52.34;1
Corredores de bolsas de productos;7;7;1.0;661209;OTROS SERVICIOS DE CORRETAJE DE VALORES Y COMMODITIES N.C.P.;1;0.142857;0.025679;0.017857;18.426;1517;56;0.036915;0.000659;1461;Corredores de Bolsas de Productos;1.0;SI;ACTIVIDAD_INCIDENTAL;BAJA;MEDIO;41.42;2
Corredores de bolsas de productos;7;7;1.0;661903;EMPRESAS DE ASESORIA Y CONSULTORIA EN INVERSION FINANCIERA, SOCIEDADES DE APOYO AL GIRO;2;0.285714;0.082217;0.007722;7.968;29964;259;0.008644;6.7e-05;29705;Corredores de Bolsas de Productos;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;22.11;3
Corredores de bolsas de productos;7;7;1.0;661909;OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.;2;0.285714;0.082217;0.007663;7.907;3592;261;0.072661;0.000557;3331;Corredores de Bolsas de Productos;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;MEDIO;22.05;4
Corredores de propiedades;1459;753;0.516107;682000;ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA;646;0.857902;0.831144;0.762692;7.316;25909;847;0.032691;0.024933;25062;Corredores de Propiedades;1.0;SI;GATILLANTE_EMPIRICO_ALTO;ALTA;MEDIO;86.51;1
Depósitos de Valores;1;1;1.0;661909;OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.;1;1.0;0.206543;0.003831;27.6743;3592;261;0.072661;0.000278;3331;Bolsas de Valores;0.6669;NO;EVIDENCIA_LIMITADA_POR_MUESTRA;BAJA_MUESTRA;MEDIO;29.35;1
Emisoras de tarjetas de crédito;13;13;1.0;649201;FINANCIERAS;4;0.307692;0.126805;0.090909;50.5105;560;44;0.078571;0.007143;516;Cooperativas de Ahorro y Crédito;0.4921;SI;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;MEDIO;47.07;1
Emisoras de tarjetas de crédito;13;13;1.0;641990;OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.;1;0.076923;0.01371;0.005155;2.864;1146;194;0.169284;0.000873;952;Cooperativas de Ahorro y Crédito;0.4921;SI;ACTIVIDAD_INCIDENTAL;BAJA;MEDIO;31.97;2
Emisoras de tarjetas de crédito;13;13;1.0;661909;OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.;5;0.384615;0.177094;0.019157;10.644;3592;261;0.072661;0.001392;3331;Cooperativas de Ahorro y Crédito;0.4921;NO;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;MEDIO;28.26;3
